Companies,Companies_full,Website2,Location,
360biolabs Pty Ltd,360biolabs Pty Ltd,http://www.360biolabs.com/,"85 Commercial Road, Melbourne, VIC, 3004",
,360biolabs Pty Ltd,,"37 Kent St, Woolloongabba, QLD, 4102",
Abacus dx Pty Ltd,Abacus dx Pty Ltd,https://www.abacusdx.com/,"34 Corporate Drive, Cannon Hill, QLD, 4170",
,Abacus dx Pty Ltd,,"Unit B, 30 Vestey Drive, Mt Wellington, Auckland, NZ",
AbCellera,AbCellera,https://www.abcellera.com/,"2215 Yukon Street, Vancouver, BC V5Y 0A1",
Accelagen Pty Ltd,Accelagen Pty Ltd,http://www.accelagen.com.au/,"Suite 2.02, 785 Toorak Road,�Hawthorn East, Victoria, Australia 3102",
Actinogen Medical Limited,Actinogen Medical Limited,http://www.actinogen.com.au/,"Suite 901, Level 9, 109 Pitt Street, Sydney NSW 2000, Australia",
Acuity Capital,Acuity Capital,https://www.acuitycapital.com.au/,"Level 24, Three International Towers, Sydney NSW 2000,  Australia",
,Acuity Capital,,"Level 25, 108 St Georges Terrace, Perth WA 6000, Australia",
,Acuity Capital,,"Level 23, Tower 5, Collins Square, Melbourne VIC 3008, Australia",
AdAlta Limited,AdAlta Limited,http://www.adalta.com.au/,"Room 204, LIMS2, La Trobe Institute of Molecular Science, Science Drive, La Trobe University VIC 3086, Australia",
Adapt ldeations Pty Ltd,Adapt ldeations Pty Ltd,https://www.adaptideations.com/,"H.No.1-89/G/36, 3rd Floor, Plot No.36, Mindspace, Shilpi Valley, Madhapur, Hyderabad � 500081, India",
,Adapt ldeations Pty Ltd,,"34/7 Salisbury Road, Castle Hill, NSW, 2154",
,Adapt ldeations Pty Ltd,,"1700 Post Oak Blvd. Suite 600, Houston, TX 77056",
,Adapt ldeations Pty Ltd,,"ADAPT Ideations Global PTE LTD, 11 Beach Road #03-01, Singapore 189675",
Additive Manufacturing Network,Additive Manufacturing Network,http://amhub.net.au/,"Suite 10, 5 Corporate Boulevard Bayswater Victoria 3153, Australia",
Adjutor Healthcare Pty Ltd,Adjutor Healthcare Pty Ltd,https://www.adjutor.com.au/,,
Akesa�Pty Ltd,Akesa�Pty Ltd,https://akesagroup.com/,"Level 2, 121 Flinders Lane, Melbourne VIC, Australia 3000",
Agilex Biolabs Pty Ltd,Agilex Biolabs Pty Ltd,https://www.agilexbiolabs.com/,"31 Dalgleish Street, Thebarton SA 5031",
,Agilex Biolabs Pty Ltd,,"2404 Logan Road, Eight Mile Plains QLD 4113",
Alithia Life Sciences Pty Ltd,Alithia Life Sciences Pty Ltd,http://www.alithialifesciences.com/,,
Alliance for Regenerative Medicine (ARM),Alliance for Regenerative Medicine (ARM),https://alliancerm.org/,"1015 18th Street NW, Suite 1102, Washington, D.C. 20036",
,Alliance for Regenerative Medicine (ARM),,"2-4 Schuman Roundabout, B-1040 Brussels, Belgium",
Almac Group,Almac Group,https://www.almacgroup.com/,"Almac House, 20 Seagoe Industrial Estate, Craigavon,BT63 5QD, United Kingdom",
AlphaRET,AlphaRET,https://nova-eye.com/company/alpharet/,"107�Rundle Street, Kent Town�SA�5067",
Amplia Therapeutics Limited,Amplia Therapeutics Limited,https://www.ampliatx.com/site/content/,"Level 17, 350 Queen Street, Melbourne VIC 3000",
ANDHealth,ANDHealth,http://andhealth.com.au/,"PO Box 45, Collins Street West VIC 8007, AUSTRALIA",
AnteoTech Ltd,AnteoTech Ltd,https://www.anteotech.com/,"Unit 4, 26 Brandl Street, Brisbane Technology Park, Eight Mile Plains QLD 4113 Australia",
Anteris Technologies,Anteris Technologies,https://anteristech.com/,"Toowong Tower,�Level 3, Suite 302, 9 Sherwood Road, Toowong, QLD 4066, Australia",
Aravax,Aravax,https://www.aravax.com.au/,"Level 9, 31 Queen St, Melbourne VIC 3000, Australia",
Argenica Therapeutics Ltd,Argenica Therapeutics Ltd,http://www.argenica.com.au/,"4/117 Broadway, Nedlands WA 6009, Australia, PO Box 1458, West Perth WA 6872",
Arovella Therapeutics Ltd,Arovella Therapeutics Ltd,https://www.arovella.com/,"Jumar Bioincubator, 655 Elizabeth Street, Melbourne VIC 3000",
Asteri Pharma,Asteri Pharma,https://www.asteripharma.com/,"Level 18, Collins Square Tower 4, 727 Collins St. Melbourne VIC 3008",
AstraZeneca Pty Ltd,AstraZeneca Pty Ltd,http://www.astrazeneca.com.au/,"47 Talavera Road, North Ryde NSW 2113",
Atticus Medical Pty Ltd,Atticus Medical Pty Ltd,https://www.atticusmed.com/about,"Level 1, 18 Kavanagh St, Southbank, 3006, Victoria, AUSTRALIA",
Aucentra Therapeutics,Aucentra Therapeutics,https://www.aucentra.com/about/,,
Australian Institute for Bioengineering and Nanotechnology (AIBN),Australian Institute for Bioengineering and Nanotechnology (AIBN),https://aibn.uq.edu.au/,"Corner College and Cooper Rds (Bldg 75), The University of Queensland, Brisbane Qld 4072, Australia",
"Australian National University (ANU),�Office of Research and Innovation Services","Australian National University (ANU),�Office of Research and Innovation Services",,,
Australian Red Cross Lifeblood (ARCLB),Australian Red Cross Lifeblood (ARCLB),http://www.donateblood.com.au/,"�PO BOX 354,� South Melbourne, VIC 3205�",
Australian Regenerative Medicine Institute,Australian Regenerative Medicine Institute,http://www.armi.org.au/,"23 Innovation Walk, Monash University, Wellington Road, CLAYTON �3800",
Australian Trade & Investment Commission (Austrade),Australian Trade & Investment Commission (Austrade),http://www.austrade.gov.au/,,
