company,drug,phase,type_of_drug,description
Actinogen Medical Limited,Xanamem,Phase 2,small molecule,Cognitive enhancer for Alzheimer's disease and other neurological conditions
AdAlta Limited,AD-214,Phase 1,antibody,CAR T therapy for fibrotic diseases
AdAlta Limited,AD-324,Preclinical,antibody,i-body for fibrotic diseases
Algorae Pharmaceuticals (formerly Living Cell Technologies),NTCELL,Phase 1/2,cell therapy,Alginate encapsulated neonatal porcine choroid plexus for Parkinson's disease
Amplia Therapeutics Limited,AMP945,Preclinical,small molecule,Focal Adhesion Kinase (FAK) inhibitor for cancer and fibrosis
Amplia Therapeutics Limited,AMP886,Preclinical,small molecule,Focal Adhesion Kinase (FAK) inhibitor for cancer and fibrosis
Anteris Technologies,ADAPT,Preclinical,medical device,Novel tissue engineering technology for heart valve replacement
Aravax,PVX108,Phase 1,peptide,Peptide immunotherapy for peanut allergy
Argenica Therapeutics Ltd,ARG-007,Phase 1,small molecule,Neuroprotective agent for stroke
Arovella Therapeutics Ltd,CAR19-iNKT,Preclinical,cell therapy,Invariant natural killer T (iNKT) cell therapy for cancer
Arovella Therapeutics Ltd,DNT-001,Preclinical,cell therapy,Invariant natural killer T (iNKT) cell therapy for cancer
Asteri Pharma,TBA,Preclinical,small molecule,Novel therapeutics for neurological disorders
Aucentra Therapeutics,TBA,Preclinical,small molecule,Novel therapeutics for cancer
Avecho Biotechnology,CBD Soft Gel Capsules,Phase 2,cannabinoid,Cannabidiol (CBD) soft gel capsules for various indications
Avecho Biotechnology,DHA Soft Gel Capsules,Phase 1,fatty acid,Docosahexaenoic acid (DHA) soft gel capsules for various indications
Avita Medical,RECELL,Approved,medical device,Autologous cell harvesting device for skin regeneration
BioDiem Ltd,BDM-I,Phase 2,small molecule,Immunomodulatory agent for infectious diseases
BiomeBank,Donated Faecal Microbiota,Approved,microbiome,Faecal microbiota transplant for Clostridium difficile infection
Biotron Limited,BIT225,Phase 2,small molecule,Antiviral agent for HIV and Hepatitis C
Cambium Bio Limited,TBA,Preclinical,small molecule,Novel therapeutics for cancer
Cancure,TBA,Preclinical,cell therapy,Allogeneic T cell immunotherapy for cancer
Carina Biotech,CAR T,Preclinical,cell therapy,CAR T therapy for cancer
Cartherics,CAR T,Preclinical,cell therapy,iPSC derived CAR T therapy for cancer
Celosia Therapeutics Pty Ltd,TBA,Preclinical,gene therapy,Gene therapy for ALS/MND/LGD/AD/dementia/dravet syndrome
Certa Therapeutics,FT011,Phase 2,small molecule,Novel therapeutics for inflammatory diseases
Certa Therapeutics,FT009,Preclinical,small molecule,Novel therapeutics for inflammatory diseases
Chimeric Therapeutics Ltd,CHM 1101,Phase 1,cell therapy,CAR T and CAR NK therapy for cancer
Chimeric Therapeutics Ltd,CHM 2101,Preclinical,cell therapy,CAR T and CAR NK therapy for cancer
Clarity Pharmaceuticals,SARTATE,Phase 3,radiopharmaceutical,Copper-64 based radiopharmaceutical for cancer imaging and therapy
Clarity Pharmaceuticals,SAR-Bombesin,Phase 1,radiopharmaceutical,Copper-64 based radiopharmaceutical for cancer imaging and therapy
Cochlear Limited,Cochlear Implants,Approved,medical device,Cochlear implants for hearing loss
CSL Limited,Hizentra,Approved,biologic,Immunoglobulin therapy for immunodeficiency
CSL Limited,Privigen,Approved,biologic,Immunoglobulin therapy for immunodeficiency
CSL Limited,Idelvion,Approved,biologic,Recombinant coagulation factor IX for hemophilia B
CSL Limited,Kcentra,Approved,biologic,Prothrombin complex concentrate for bleeding disorders
CSL Limited,Haegarda,Approved,biologic,C1 esterase inhibitor for hereditary angioedema
CSL Limited,Respreeza,Approved,biologic,Alpha-1 proteinase inhibitor for alpha-1 antitrypsin deficiency
CSL Limited,Zemaira,Approved,biologic,Alpha-1 proteinase inhibitor for alpha-1 antitrypsin deficiency
CSL Limited,Berinert,Approved,biologic,C1 esterase inhibitor for hereditary angioedema
CSL Limited,Glatopa,Approved,biologic,Glatiramer acetate for multiple sclerosis
CSL Limited,Afluria,Approved,vaccine,Influenza vaccine
CSL Limited,Fluad,Approved,vaccine,Influenza vaccine
CSL Limited,Seqirus,Approved,vaccine,Influenza vaccine
Currus Biologics,CAR T,Preclinical,cell therapy,CAR T therapy for cancer
Cynata Therapeutics,CYP-001,Phase 2,cell therapy,iPSC derived MSC therapy for graft-versus-host disease
Cynata Therapeutics,CYP-002,Phase 1,cell therapy,iPSC derived MSC therapy for osteoarthritis
Cyteph,VSTs,Preclinical,cell therapy,Allogeneic CMV+ virus specific T cells for cancer
Dimerix Limited,DMX-200,Phase 3,small molecule,Chemokine receptor blocker for kidney disease
Dimerix Limited,DMX-700,Preclinical,small molecule,Chemokine receptor blocker for respiratory diseases
Emyria Ltd,MDMA,Phase 2,psychedelic,MDMA-assisted therapy for PTSD
Emyria Ltd,CBD,Phase 2,cannabinoid,Cannabidiol (CBD) for various indications
ENA Respiratory,INNA-051,Phase 2,nasal spray,Nasal spray for respiratory infections
EnGeneIC,EDV,Phase 1,nanocell,EnGeneIC Dream Vector (EDV) nanocell for cancer therapy
EpiAxis TherapeuticsEpichem Pty Ltd,TBA,Preclinical,small molecule,Novel therapeutics for cancer
Genetic Techonologies Ltd,GeneType,Approved,genetic test,Genetic test for breast cancer risk
GPN Vaccines,TBA,Preclinical,vaccine,Novel vaccines for infectious diseases
HaemaLogiX Pty Ltd,CAR T,Preclinical,cell therapy,CAR T therapy for hematological malignancies
Immuron Limited,Travelan,Phase 2,antibody,Antibody therapy for traveler's diarrhea
Immuron Limited,IMM-124E,Phase 1,antibody,Antibody therapy for NASH
Immutep Limited,eftilagimod alpha,Phase 2,immunotherapy,Immunotherapy for cancer
Immutep Limited,IMP761,Preclinical,antibody,LAG-3 antibody for cancer
ImmVirX,TBA,Preclinical,oncolytic virus,Oncolytic virus therapy for cancer
Imugene Ltd,HER-Vaxx,Phase 2,immunotherapy,CAR T and oncolytic virus therapy for cancer
Imugene Ltd,CHECKvacc,Phase 1,oncolytic virus,Oncolytic virus therapy for cancer
Imugene Ltd,PD1-Vaxx,Phase 1,immunotherapy,Immunotherapy for cancer
InhaleRx Ltd,IRX-001,Phase 1,inhaler,Inhaled drug for respiratory diseases
INOVIQ Limited,SubB2M,Preclinical,diagnostic,Diagnostic test for cancer
INOVIQ Limited,hTERT,Preclinical,diagnostic,Diagnostic test for cancer
Invion Limited,INV-101,Phase 2,small molecule,Anti-inflammatory agent for respiratory diseases
LBT Innovations,Automated Plate Assessment System (APAS),Approved,medical device,Automated plate assessment system for microbiology
Mesoblast Limited,Remestemcel-L,Phase 3,cell therapy,Autologous MSC therapy for graft-versus-host disease
Mesoblast Limited,MPC-150-IM,Phase 3,cell therapy,Autologous MSC therapy for chronic heart failure
Mesoblast Limited,MPC-25-IC,Phase 3,cell therapy,Autologous MSC therapy for chronic lower back pain
Mesoblast Limited,REVASCOR,Phase 3,cell therapy,Autologous MSC therapy for acute myocardial infarction
Mesoblast Limited,MPC-25-Osteo,Phase 2,cell therapy,Autologous MSC therapy for osteoarthritis
Mesoblast Limited,MPC-100-AD,Phase 2,cell therapy,Autologous MSC therapy for Alzheimer's disease
Mesoblast Limited,MSB-GVHD,Phase 3,cell therapy,Autologous MSC therapy for graft-versus-host disease
Microba Pty Ltd,Microbiome Testing,Approved,diagnostic,Microbiome testing for various indications
MINIMUM bio Pty Ltd,TBA,Preclinical,small molecule,Novel therapeutics for cancer
Noxopharm,Veyonda,Phase 2,small molecule,Anti-cancer agent
Noxopharm,NOX66,Preclinical,small molecule,Anti-cancer agent
Nyrada Inc,NYR-BI01,Phase 1,small molecule,Cholesterol-lowering agent
Nyrada Inc,NYR-LI01,Preclinical,small molecule,Neuroprotective agent for traumatic brain injury
Obatica Pty Ltd,TBA,Preclinical,immunotherapy,Immunotherapy for cancer
OncoRes Medical Ltd,TBA,Preclinical,medical device,Medical device for cancer detection
OncoSil Medical Ltd,OncoSil,Approved,medical device,Radioactive implant for pancreatic cancer
Opthea Limited,OPT-302,Phase 3,biologic,VEGF-C/D inhibitor for wet AMD
OptiScan Imaging Ltd,InVivo Confocal Microscope,Approved,medical device,Confocal microscope for real-time imaging
Orthocell,Ortho-ACI,Approved,cell therapy,Autologous chondrocyte implantation for cartilage repair
Orthocell,CelGro,Approved,medical device,Collagen scaffold for tissue repair
Orthocell,SmrtGraft,Preclinical,cell therapy,Autologous tendon stem cell therapy
Osteopore,Osteopore,Approved,medical device,Bioresorbable implant for bone regeneration
Paradigm BioPharmaceuticals Ltd,Pentosan Polysulfate Sodium (PPS),Phase 3,small molecule,Drug for osteoarthritis
Patrys Ltd,PAT-DX1,Phase 1,antibody,Antibody therapy for cancer
Patrys Ltd,PAT-DX3,Preclinical,antibody,Antibody therapy for cancer
PharmAust Limited,Monepantel,Phase 2,small molecule,Drug for motor neuron disease
PolyActiva Pty Ltd,TBA,Preclinical,polymer,Biodegradable polymers for drug delivery
Polynovo Ltd,Novosorb BTM,Approved,medical device,Biodegradable temporizing matrix for dermal regeneration
Polynovo Ltd,Novosorb MTX,Preclinical,medical device,Biodegradable temporizing matrix for dermal regeneration
Polynovo Ltd,Novosorb ADM,Preclinical,medical device,Biodegradable temporizing matrix for dermal regeneration
Prescient Therapeutics Limited,PTX-100,Phase 1,small molecule,CAR T therapy for cancer
Prescient Therapeutics Limited,PTX-200,Phase 1,small molecule,CAR T therapy for cancer
Protagonist Pty Ltd,PN-943,Phase 2,peptide,Peptide therapy for inflammatory bowel disease
Protagonist Pty Ltd,PN-235,Phase 1,peptide,Peptide therapy for inflammatory bowel disease
Proteomics International Laboratories Limited,PromarkerD,Approved,diagnostic,Diagnostic test for diabetic kidney disease
PYC Therapeutics,TBA,Preclinical,mRNA,mRNA therapy for genetic diseases
QBiotics Group Limited,EBC-46,Phase 2,small molecule,Anti-cancer agent
Race Oncology Limited,Zantrene,Phase 2,small molecule,Anti-cancer agent
Recce Pharmaceuticals Ltd,RECCE 327,Phase 1,anti-infective,Anti-infective agent for bacterial infections
Recce Pharmaceuticals Ltd,RECCE 529,Preclinical,anti-infective,Anti-infective agent for viral infections
Regeneus,Progenza,Phase 1,cell therapy,Autologous MSC therapy for osteoarthritis
Regeneus,Sygenus,Preclinical,cell therapy,Allogeneic MSC therapy for osteoarthritis
ReNerve,TBA,Preclinical,medical device,Nerve repair sheaths for nerve damage
Resonance Health Pty Ltd,FerriScan,Approved,diagnostic,MRI-based diagnostic for liver iron overload
Respiri Limited,wheezo,Approved,medical device,Wearable device for asthma monitoring
Respirion Pharmaceuticals Pty Ltd,TBA,Preclinical,small molecule,Novel therapeutics for respiratory diseases
Sementis Limited,TBA,Preclinical,vaccine,Novel vaccines for infectious diseases
Sienna Cancer Diagnostics,hTERT,Preclinical,diagnostic,Diagnostic test for cancer
Skin2Neuron,TBA,Preclinical,cell therapy,Hair follicle derived neurons for dementia
Snoretox Ltd,TBA,Preclinical,medical device,Medical device for sleep apnea
SpeeDx Pty Ltd,PlexPCR,Approved,diagnostic,Molecular diagnostic tests for infectious diseases
Starpharma Holdings Limited,VivaGel,Phase 3,antiviral,Antiviral agent for bacterial vaginosis
Starpharma Holdings Limited,DEP,Preclinical,drug delivery,Drug delivery platform for various indications
Syntara,LOX-1 Inhibitor,Phase 2,small molecule,LOX-1 inhibitor for fibrotic diseases
TekCyte Pty Ltd,TBA,Preclinical,medical device,Novel biomaterials for cell culture
Teleaus Bioscience Health Pty Ltd (Genofax),Genofax,Approved,diagnostic,Genetic testing for various indications
Telix Pharmaceuticals Pty Ltd,Illuccix,Phase 3,radiopharmaceutical,PSMA-targeting radiopharmaceutical for prostate cancer imaging
Telix Pharmaceuticals Pty Ltd,TLX250-CDx,Phase 3,radiopharmaceutical,CAIX-targeting radiopharmaceutical for kidney cancer imaging
Telix Pharmaceuticals Pty Ltd,TLX591,Phase 1,radiopharmaceutical,PSMA-targeting radiopharmaceutical for prostate cancer therapy
Telix Pharmaceuticals Pty Ltd,TLX101,Phase 1,radiopharmaceutical,18F-DOPA PET imaging agent for brain tumors
Telix Pharmaceuticals Pty Ltd,TLX250,Phase 1,radiopharmaceutical,CAIX-targeting radiopharmaceutical for kidney cancer therapy
Telix Pharmaceuticals Pty Ltd,TLX650,Preclinical,radiopharmaceutical,Novel radiopharmaceutical for cancer therapy
Telix Pharmaceuticals Pty Ltd,TLX300,Preclinical,radiopharmaceutical,Novel radiopharmaceutical for cancer therapy
Tessara Therapeutics,TTX-001,Preclinical,cell therapy,Off-the-shelf dopamine replacement micro tissue therapy for Parkinson's disease
Tissue Repair,TBA,Preclinical,medical device,Novel biomaterials for tissue repair
TruScreen Pty Ltd,TruScreen,Approved,medical device,Cervical cancer screening device
Universal Biosensors Pty Ltd,XeroSens,Approved,medical device,Blood glucose monitoring system
Vaxxas Pty Ltd,HD-MAP,Phase 1,vaccine delivery,High-density microarray patch for vaccine delivery
Vectus Biosystems Limited,VB198,Preclinical,small molecule,Anti-cancer agent
Vitrafy Life Sciences Ltd,TBA,Preclinical,medical device,Novel biomaterials for cell culture
Vitura Health Limited,Cannabis Products,Approved,cannabinoid,Medical cannabis products for various indications
VivaZome,TBA,Preclinical,exosomes,mRNA delivery in exosomes
