Investor,Invested in Australian Biotech,Website,LinkedIn,Biotech Areas Invested
Alchemist Accelerator,No,alchemistaccelerator.com,https://www.linkedin.com/company/alchemistx/,Accelerating the development of seed-stage ventures that monetize from enterprises (not consumers)
Ally Bridge Group,No,https://ally-bridge.com/,https://www.linkedin.com/company/ally-bridge/,"Late-stage companies within the healthcare, biotechnology, and medical sectors"
Andera Partners,No,https://www.anderapartners.com/en/expertise/life-sciences-biotechnologies/,https://www.linkedin.com/company/anderapartners/,Start-up/early-stage to growth/late-stage
Atlas Venture,Yes,atlasventure.com,https://www.linkedin.com/company/atlas-venture/,"Early-stage biotech, seed and later-stage funding"
AyurMaya,Yes,Not provided,,Information not available
Bayern Kapital,Yes,https://bayernkapital.de/en/for-founders/,https://www.linkedin.com/company/bayern-kapital-gmbh/,Seed to the scale-up phase
BioMedPartners,No,https://biomedvc.com/en/,https://www.linkedin.com/company/biomedpartners/,Early to late-stage biotechnology and healthcare companies
Brandon Capital,Yes,https://brandoncapital.vc/,https://www.linkedin.com/company/brandon-capital/posts/?feedView=all,Early-stage seed investment through to expansion capital
Cantor Fitzgerald & Co.,No,https://www.cantor.com/our-business/investment-banking/,https://www.linkedin.com/company/cantor-fitzgerald/,Information not available
coparion,No,https://www.coparion.vc/en,https://www.linkedin.com/company/cooparion/,Start-up and early growth phase
Cormorant Asset Management,Yes,https://www.cormorant-capital.com/investment.html,Cormorant Asset Management,Late-stage biotechnology and healthcare companies
Decheng Capital,Yes,https://www.decheng.com/,https://www.linkedin.com/company/decheng-capital-/,Early-stage life science companies
Deep Track Capital,No,https://www.deeptrackcapital.com/,,"Late-stage biotechnology and healthcare companies, focusing on therapeutics"
EcoR1 Capital,No,https://www.ecor1cap.com/,https://www.linkedin.com/company/ecor1-capital-llc/,"Early to late-stage biotechnology and healthcare companies, focusing on therapeutics"
Enavate Sciences,No,https://enavatesciences.com/,https://www.linkedin.com/company/enavate-sciences/,"Late-stage biopharma, biotechnology, and healthcare companies"
EQT Life Sciences,Yes,https://eqtgroup.com/private-capital/life-sciences/,https://www.linkedin.com/company/eqt-life-sciences/?originalSubdomain=nl,Information not available
Foresite Capital,No,https://www.foresitecapital.com/,https://www.linkedin.com/company/foresite-capital-management/,All stages
Frazier Life Sciences,No,https://frazierls.com/,https://www.linkedin.com/company/frazier-life-sciences/,All Stages
Fund+,No,https://fundplus.be/,https://www.linkedin.com/company/fund-/,First round and subsequent financing
Goldman Sachs Alternatives,Yes,https://am.gs.com/en-au/advisors/products/life-sciences,https://www.linkedin.com/showcase/goldman-sachs-assetmanagement/,Information not available
HBM Healthcare Investments,No,https://www.hbmhealthcare.com/en,https://www.linkedin.com/company/hbm-partners-ag/,Later-stage private companies
High-Tech Gr√nderfonds,No,https://www.htgf.de/en/,https://www.linkedin.com/company/high-tech-gruenderfonds/,Seed investor
Illumina Ventures,No,https://www.illuminaventures.com/,https://www.linkedin.com/company/illumina-ventures/,New company formation to Series A startups
InterWest Partners,No,interwest.com,https://www.linkedin.com/company/interwest-partners/,Early stage IT and Healthcare Investing
Laurion Capital Management,No,https://www.laurioncap.com/,https://www.linkedin.com/company/laurion-capital/,
LG Technology Ventures,No,https://www.lgtechventures.com/,https://www.linkedin.com/company/lgtechventures/,"Early-stage start-ups in artificial intelligence, mobility, advanced materials, life-sciences, next generation display, mobile, and 5G"
Lilly Asia Ventures,No,lillyasiaventures.com,https://www.linkedin.com/company/lilly-asia-venture-%E7%A4%BC%E6%9D%A5%E4%BA%9A%E6%B4%B2%E5%9F%BA%E9%87%91/,Targets entrepreneurs seeking smart capital and to build great companies developing breakthrough products that treat diseases and improve human health
Logos Capital,No,https://www.logoscapital.com/,https://www.linkedin.com/company/logos-capital/,Information not available
Longitude Capital,No,https://www.longitudecapital.com/,https://www.linkedin.com/company/longitude-capital/,From start-ups to growth equity investments
Marshall Wace,No,https://www.mwam.com/,https://www.linkedin.com/company/marshall-wace/,Information not available
National Institutes of Health,No,nih.gov,,Biomedical and health-related research
New Enterprise Associates (NEA),No,https://www.nea.com/,https://www.linkedin.com/company/new-enterprise-associates/about/,From idea to IPO
Nextech Invest Ltd,No,https://www.nextechinvest.com/,https://www.linkedin.com/company/nextech-invest-ltd./,Supports portfolio companies through each critical stage of drug development and company growth
Norwest Venture Partners,No,https://www.nvp.com/,https://www.linkedin.com/company/norwest-venture-partners/,Early-stage venture through late-stage growth
OCCIDENT,No,https://www.occident.group/en/,https://www.linkedin.com/company/occidentgroup/,Start-ups from the seed stage onwards
Omega Funds,No,https://omegafunds.com/,https://www.linkedin.com/company/omegafunds/,Early seed or late stage public financing
Piper Heartland Healthcare,No,https://www.pipersandler.com/healthcare/investment-banking,https://www.linkedin.com/company/pipersandler/,Information not available
