Category,Companies,Description,Additional Info,Location,City,Additional Info 2,Contact,Companies_full,url,Latitude,Longitude,Latitude_City,Longitude_City
Approved commercial treatment centres,Adelaide commercial site,,,,Adelaide,,,,,46.3144754,11.0480288,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),Biocina,Plasmid DNA,https://biocina.com/,,Adelaide,,Mark Womack,,https://biocina.com/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Royal Adelaide Hospital/Central Adelaide Local Health Network,,"CAR T, virus specific T cells, MSC, iPSC-MSC, hemophilia GT, allo CAR T, GT OA",,Adelaide,"Prof Michael Brown, Prof Rajiv Khanna, Daniel Chambers, Kilian Kelly, John Rasko, Aditi Mehta, Alison Heald","Prof Michael Brown, Prof Rajiv Khanna, Daniel Chambers, Kilian Kelly, John Rasko, Aditi Mehta, Alison Heald",,,46.3144754,11.0480288,46.3144754,11.0480288
Government representatives,SA,,Invest SA,,Adelaide,"Director, Health and Medical Industries",Mark Wheeler,,,46.3144754,11.0480288,46.3144754,11.0480288
Government representatives,SA,,SA Health,,Adelaide,Executive Director Health Services Programs and Funding,Helen Chalmers,,,46.3144754,11.0480288,46.3144754,11.0480288
Government representatives,SA,,SA Health,,Adelaide,"Executive Director, Quality, Information and Performance",Michele McKinnon,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Southern Oncology Clinical Research Unit (SOCRU)/Cancer Research SA (CRSA),,Adoptive cell therapy,,Adelaide,"Rohit Joshi, MD","Rohit Joshi, MD",,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,University of Adelaide,,Sean McColl/Carina,,Adelaide,,Shaun McColl,,,46.3144754,11.0480288,46.3144754,11.0480288
,Agilex Biolabs Pty Ltd,,,"31 Dalgleish Street, Thebarton SA 5031",Adelaide,,,Agilex Biolabs Pty Ltd,https://www.agilexbiolabs.com/,-34.91202995,138.5697751,46.3144754,11.0480288
,Sementis Limited,,,"25 North Terrace, Hackney SA, 5069, Australia",Adelaide,,,Sementis Limited,http://www.sementis.com.au/,-34.9194641,138.6152883,46.3144754,11.0480288
,AlphaRET,,,"107 Rundle Street, Kent Town SA 5067",Adelaide,,,AlphaRET,https://nova-eye.com/company/alpharet/,-34.9202679,138.6188232,46.3144754,11.0480288
,LBT Innovations,,,"16 Anster St, Adelaide SA 5000",Adelaide,,,LBT Innovations,http://www.lbtinnovations.com/,-34.9254796,138.5983449,46.3144754,11.0480288
,RSM Australia,,,"2/191 Pulteney St, Adelaide SA 5000",Adelaide,,,RSM Australia,,-34.9338854,138.6064105,46.3144754,11.0480288
,Bellberry Limited,,,"123 Glen Osmond Road Eastwood Adelaide, South Australia 5063",Adelaide,,,Bellberry Limited,http://www.bellberry.com.au/,-34.9406421,138.6160258,46.3144754,11.0480288
,"Innovation & Commercialisation Services, The University of Adelaide",,,,Adelaide,,,"Innovation & Commercialisation Services, The University of Adelaide",http://www.adelaide.edu.au/ics,46.3144754,11.0480288,46.3144754,11.0480288
,University of South Australia - Enterprise Partnership Unit,,,,Adelaide,,,University of South Australia - Enterprise Partnership Unit,https://www.unisa.edu.au/,46.3144754,11.0480288,46.3144754,11.0480288
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,,"20 Customs Street East, Auckland CBD, Auckland 1010, New Zealand",Auckland,,,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,-36.8449444,174.7682818,46.3144754,11.0480288
,Roche Australia,,,"98 Carlton Gore Road, Auckland 1023, Newmarket, New Zealand",Auckland,,,Roche Australia,,-36.8648977,174.7757318,46.3144754,11.0480288
,Immutep Limited,,,"Glinkastr. 28, 10117 Berlin Germany",Berlin,,,Immutep Limited,,52.513966,13.3864463,52.513966,13.3864463
Cell and Tissue repositories,Australian Red Cross Lifeblood,,,,Brisbane,,Rebecca Griffiths,,,46.3144754,11.0480288,46.3144754,11.0480288
Clinical CRO,CryoPDP,,www.cryopdp.com,,Brisbane,,Kim Alexander,,www.cryopdp.com,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,Cyteph,Allogeneic CMV+ VSTs,https://cyteph.bio/,,Brisbane,,Rajiv Khanna,,https://cyteph.bio/,46.3144754,11.0480288,46.3144754,11.0480288
,"Department of State Development, Infrastructure, Local Government & Planning (QLD)",,,,Brisbane,,,"Department of State Development, Infrastructure, Local Government & Planning (QLD)",http://www.dsdmip.qld.gov.au/,46.3144754,11.0480288,46.3144754,11.0480288
Non cell therapy manufacture applications,Gelomics,"3D tissue culture models in a matter of minutes.
Reproducible, cost-effective, and highly predictive of human biology",https://www.gelomics.com/,,Brisbane,,,,https://www.gelomics.com/,46.3144754,11.0480288,46.3144754,11.0480288
Clinical CRO,Genomics for Life,"organoid pathology service, genetic testing",https://www.genomicsforlife.com.au/,,Brisbane,,,,https://www.genomicsforlife.com.au/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Greenslopes Private Hospital/Gallipoli Medical Research Foundation,,Adoptive cell therapy,,Brisbane,"Rohit Joshi, MD","Rohit Joshi, MD",,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Griffith University,,T cells Multiple Schlerosis,,Brisbane,"Kiren Kresa-Reahl, MD","Kiren Kresa-Reahl, MD",,,46.3144754,11.0480288,46.3144754,11.0480288
Non cell therapy manufacture applications,Heuros,Technology for cultured meat products,https://www.heuros.com/,,Brisbane,,,,https://www.heuros.com/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Lady Cilento Children's Hospital,,CAR T,,Brisbane,Dr Kenneth Micklethwaite,Dr Kenneth Micklethwaite,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Mater Research Institute,"CAR T cells in relapsed/refractory lymphoma, virus specific T cells",Maher Gandhi,,Brisbane,,Maher Gandhi,,,46.3144754,11.0480288,46.3144754,11.0480288
non TGA licensed phase 0/1 manufacture facilities,National Biologics Facility,process development and Phase I manufacture,https://www.nationalbiologicsfacility.com/,,Brisbane,,,,https://www.nationalbiologicsfacility.com/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Princess Alexandra Hospital,,"dendritic cells, virus specific T cells, CAR T, GT OA",,Brisbane,"Prof Rajiv Khanna, Prof Maher Gandhi","Prof Rajiv Khanna, Prof Maher Gandhi",,,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,QCIF,bioinformatics and biostatistics support for life science and health researchers,https://www.qcif.edu.au/bioinformatics-and-biostatistics/,,Brisbane,,,,https://www.qcif.edu.au/bioinformatics-and-biostatistics/,46.3144754,11.0480288,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),Q-Gen Cell Therapies,,,,Brisbane,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Process development only facilities,Q-Gen Translational Research Institute,GMP in 2025,https://www.tri.edu.au/translationalmanufacturing,,Brisbane,,David Crowley?,,https://www.tri.edu.au/translationalmanufacturing,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,"QIMR Berghofer Medical Research Institute, Q-Gen",,Siok Tey,,Brisbane,,Siok Tey,,,46.3144754,11.0480288,46.3144754,11.0480288
Government representatives,QLD,,"Department of State Development, Infrastructure, Local Government and Planning",,Brisbane,Executive Director,Denise Johnston,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Queensland Childrens Hospital,,virus specific T cells,,Brisbane,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Cell and Tissue repositories,Queensland Cord Blood Bank (QCBB) - Mater (AusCord),,,,Brisbane,,Philip Johnson,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Queensland Immunology Research Centre,,,,Brisbane,,,,,46.3144754,11.0480288,46.3144754,11.0480288
