Category,Companies,Description,Additional Info,Location,City,Additional Info 2,Contact,Companies_full,url,Latitude,Longitude
,360biolabs Pty Ltd,,,"85 Commercial Road, Melbourne, VIC, 3004",Melbourne,,,360biolabs Pty Ltd,http://www.360biolabs.com/,-37.845199,144.9810471
,360biolabs Pty Ltd,,,"37 Kent St, Woolloongabba, QLD, 4102",Brisbane,,,360biolabs Pty Ltd,,-27.498964,153.0316378
,Abacus dx Pty Ltd,,,"34 Corporate Drive, Cannon Hill, QLD, 4170",Brisbane,,,Abacus dx Pty Ltd,https://www.abacusdx.com/,-27.4674704,153.0905045
,Abacus dx Pty Ltd,,,"Unit B, 30 Vestey Drive, Mt Wellington, Auckland, NZ",Auckland,,,Abacus dx Pty Ltd,,,
,AbCellera,,,"2215 Yukon Street, Vancouver, BC V5Y 0A1",Vancouver,,,AbCellera,https://www.abcellera.com/,,
INTERNATIONAL BUT KNOWN TO SPONSOR,ABER Instruments,viable cell density in bioreactor,https://aberinstruments.com/biotech/,,,,David Anderson,,https://aberinstruments.com/biotech/,46.3144754,11.0480288
,Accelagen Pty Ltd,,,"Suite 2.02, 785 Toorak Road, Hawthorn East, Victoria, Australia 3102",Melbourne,,,Accelagen Pty Ltd,http://www.accelagen.com.au/,,
INTERNATIONAL BUT KNOWN TO SPONSOR,ACRO Biosystems,"recombinant proteins, media, cytokines, PK, QC, Toxicity, pharmacodynamic, potency assays",https://www.acrobiosystems.com/,,,,Spencer Chiang,,https://www.acrobiosystems.com/,46.3144754,11.0480288
Government representatives,ACT,,Federal Department of Health and Aged Care,,,Technology Assessment & Access,David Laffan,,,46.3144754,11.0480288
Government representatives,ACT,,"Department of Industry, Science, Energy and Resources",,,"Deputy Secretary, Industry and Commercialisation",Julia Pickworth,,,46.3144754,11.0480288
,Actinogen Medical Limited,,,"Suite 901, Level 9, 109 Pitt Street, Sydney NSW 2000, Australia",Sydney,,,Actinogen Medical Limited,http://www.actinogen.com.au/,,
