"IDENTIFIER","AU APPLICATION NUMBER","SERIAL NUMBER","PCT APPLICATION NUMBER","WIPO APPLICATION NUMBER","TITLE","TYPE","FILING DATE","EARLIEST PRIORITY DATE","STATUS","INVENTORS","APPLICANTS","AGENTS","FIRST IPC MARK"
"2024227540","2024227540","","","","Tool for servicing an auto-injector","STANDARD","2024-10-22","2018-01-19","FILED","URSZUY, Tzvi Mordechai; HALL, John","Birya Biotech, Inc.","Griffith Hack",""
"2024227333","2024227333","","","","TYROSINE KINASES INHIBITORS AND USES THEREOF","STANDARD","2024-10-15","2023-10-17","FILED","CHEN, Jia-Shiong; YANG, Mu-Hsuan; CHOU, Cheng-Han; WU, Yi-Hong; CHU, Sz-Hao; CHAO, Ye-Su; CHEN, Chia-Nan","GREAT NOVEL THERAPEUTICS BIOTECH & MEDICALS CORPORATION","AJ PARK",""
"2024903288","2024903288","","","","Gastric residence device ","PROVISIONAL","2024-10-11","","FILED","Given, Not","Ruminant Biotech Corp Limited","FPA Patent Attorneys Pty Ltd",""
"2024220106","2024220106","","","","COMPOSITIONS AND METHODS FOR THE TREATMENT OF NETHERTON SYNDROME","STANDARD","2024-09-26","2018-09-24","FILED","AGARWAL, Pooja; KRISHNAN, Suma; FREEDMAN, John C.","Krystal Biotech, Inc.","Griffith Hack","C07K14/47"
"2024220105","2024220105","","","","Compositions and methods for the treatment of autosomal recessive congenital ichthyosis","STANDARD","2024-09-26","2018-04-12","FILED","KRISHNAN, Suma; AGARWAL, Pooja; FREEDMAN, John C.; O'MALLEY, Mark E.; REGULA, Lauren K.","Krystal Biotech, Inc.","Griffith Hack","C12N15/869"
"2024220137","2024220137","","","","LOW RESIDUE SAMPLING MATERIAL FOR SMALL MOLECULE DRUG DETECTION AND USE OF THE SAME","STANDARD","2024-09-26","2023-11-22","FILED","Shen, Lili; Fang, Jianqiu","Zhejiang Orient Gene Biotech Co., Ltd","Madderns Pty Ltd",""
"2024219963","2024219963","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes","STANDARD","2024-09-22","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2024219449","2024219449","","","","Compositions and methods of use of gamma-ketoaldehyde scavengers for treating, preventing or improving fibrosis of the liver","STANDARD","2024-09-06","2017-09-05","FILED","RATHMACHER, John; ABUMRAD, Naji; FLYNN, Charles","MTI Biotech, Inc.","Spruson & Ferguson","A61K31/197"
"2024219407","2024219407","","","","TEST DEVICE","STANDARD","2024-09-05","2024-04-02","FILED","SHEN, Lili; LEI, Siyu; FANG, Jianqiu","Zhejiang Orient Gene Biotech Co., Ltd","Baxter Patent Attorneys Pty Ltd",""
"2024219359","2024219359","","","","FC engineered anti-TNFR superfamily member antibodies having enhanced agonistic activity and methods of using them","STANDARD","2024-09-03","2016-08-12","FILED","Chiu, Mark; Zhang, Di","Janssen Biotech, Inc.","Spruson & Ferguson","C07K16/12"
"2024216540","2024216540","","","","Methods of producing a biomaterial","STANDARD","2024-09-02","2023-09-07","FILED","Loussier, Thomas Sylvain Etienne","Mycelium Biotech Assets Pty Ltd","Jones Tulloch",""
"2024216410","2024216410","","","","DRY CHEMICAL DEVICE AND METHOD FOR TESTING ANALYTE IN URINE SAMPLE OR PROPERTY OF URINE SAMPLE","STANDARD","2024-08-28","2024-08-20","FILED","FENG, Haiying; FANG, Jianqiu","Zhejiang Orient Gene Biotech Co., Ltd","Baxter Patent Attorneys Pty Ltd",""
"2024216291","2024216291","","","","Hydrophilic Linkers for Conjugate ","STANDARD","2024-08-23","2015-06-15","FILED","ZHAO, Robert Yongxin","Hangzhou DAC Biotech Co., Ltd","FB Rice Pty Ltd","C07F9/6558"
"2024205837","2024205837","","","","Formulations of docetaxel","STANDARD","2024-08-16","2020-02-04","FILED","SUN, Qun","Zhuhai Beihai Biotech Co., Ltd.","Davies Collison Cave Pty Ltd","A61K31/337"
"2024205470","2024205470","","","","Improvements to devices and methods for delivery of substances to animals ","STANDARD","2024-08-02","2020-12-08","FILED","Lay, Mark Christopher; Hayman, David Leslie; Thomas, Hayden Peter; Gladden, Neil Richard; Corbett, Geoffrey Earle; Bhusal, Prabhat","Ruminant Biotech Corp Limited","FPA Patent Attorneys Pty Ltd","A61K31/02"
"2024205021","2024205021","","","","Anti- GPRC5D antibodies, bispecific antigen binding molecules that bind GPRC5D and CD3, and uses thereof","STANDARD","2024-07-22","2016-07-20","FILED","ATTAR, Ricardo; CHIN, Diana; EDAVETTAL, Suzanne; GAUDET, Francois; LI, Yingzhe; LUISTRO, Leopoldo; MAJEWSKI, Nathan; MENDONCA, Mark; PILLARISETTI, Kodandaram; TEPLYAKOV, Alexey; TORNETTA, Mark","Janssen Biotech, Inc.","Spruson & Ferguson","C07K16/28"
"2024204739","2024204739","","","","Fusion proteins, recombinant bacteria, and exosporium fragments for plant health","STANDARD","2024-07-10","2017-09-20","FILED","THOMPSON, Brian M.; AUGUSTIN, Jorg; SIEGEL, Ashley","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01H5/00"
"2024204711","2024204711","","","","DISPOSABLE DEVICE FOR TESTING PROPERTIES OF VAGINAL SECRETION","STANDARD","2024-07-08","2024-06-20","FILED","ZHANG, Ying; FANG, Jianqiu","Zhejiang Orient Gene Biotech Co., Ltd","Baxter Patent Attorneys Pty Ltd",""
"2024204668","2024204668","","","","SYSTEM AND METHOD OF APPLIED RADIAL TECHNOLOGY CHROMATOGRAPHY","STANDARD","2024-07-05","2017-12-07","FILED","LEVISON, Derek W.K.; HURST, Alistair J.","EMP Biotech GmbH","Madderns Pty Ltd","G01N30/38"
"2024204684","2024204684","","","","PEPTIDE COMPOUND TARGETING ELASTIN-DERIVED PEPTIDES AND USE THEREOF","STANDARD","2024-07-05","2020-06-08","FILED","JIANG, Xianxing; WANG, Rui; SONG, Nazi","Shenzhen Turier Biotech Co., Ltd.","Griffith Hack","C07K7/08"
"2024204514","2024204514","","","","Human anti-IL-23 antibodies, compositions, methods and uses","STANDARD","2024-06-28","2005-12-29","FILED","BENSON, Jacqueline; CARTON, Jill; CUNNINGHAM, Mark; ORLOVSKY, Yevgeniya I.; RAUCHENBERGER, Robert; SWEET, Raymond","Janssen Biotech, Inc.","Spruson & Ferguson","A61K39/395"
"2024204431","2024204431","","","","Development of Safe and Effective Platform for Administration of Lutetium-177 Dotatoc Peptide Receptor Radionuclide Therapy for Neuroendocrine Tumours or Other Tumours Highly Expressing Somatostatin Receptors.","STANDARD","2024-06-27","2023-11-21","FILED","LEE, Ho Fun Victor; TAM, Kam Man","The University of Hong Kong; ZERO Biotech Company Limited","CreateIP",""
"2024204341","2024204341","","","","TESTING DEVICE AND METHOD","STANDARD","2024-06-25","2024-06-19","FILED","FENG, Haiying; PAN, Lijuan; FANG, Jianqiu","Zhejiang Orient Gene Biotech Co., Ltd","Baxter Patent Attorneys Pty Ltd",""
"2024204056","2024204056","","","","Anti-CD38 antibodies for treatment of light chain amyloidosis and other CD38-positive hematological malignancies","STANDARD","2024-06-14","2015-05-20","FILED","DOSHI, Parul; SASSER, Amy; CHAULAGAIN, Chakra; COMENZO, Raymond; MA, Xun","Janssen Biotech, Inc.; Tufts Medical Center, Inc.","Spruson & Ferguson","A61P37/06"
"2024204063","2024204063","","","","Demethylation Of Reticuline And Derivatives Thereof With Fungal Cytochrome P450","STANDARD","2024-06-14","2017-06-16","FILED","Schwab, Markus; Malca, Sumire Honda; Berninger, Philipp Friedrich; Heal, Jon Richard; Sheridan, Joseph Michael; Recordá, Laura Tatjer; Kannangara, Rubini Maya; Hansen, Esben Halkjær; Ribeiro De Carvalho, Ângela Man","River Stone Biotech Inc.","WRAYS PTY LTD","C12N15/52"
"2024203940","2024203940","","","","Integrin-targeting protein and methods of use thereof","STANDARD","2024-06-11","2015-03-06","FILED","Liu, Zhi-Ren; Yang, Jenny; Turaga, Chakra Ravi","Georgia State University Research Foundation, Inc.; Proda Biotech LLC","Michael Buck IP","C07K14/705"
"2024901728","2024901728","","","","IMMUNOTHERAPY","PROVISIONAL","2024-06-07","","FILED","","Kode Biotech Limited","Parker, Stephen R",""
"2024203822","2024203822","","","","DEVICE FOR TESTING ANALYTE IN LIQUID SAMPLE","STANDARD","2024-06-06","2024-03-27","FILED","Zhang, Ying; Fang, Jianqiu","Zhejiang Orient Gene Biotech Co., Ltd","Madderns Pty Ltd",""
"2024203820","2024203820","","","","DEVICE FOR TESTING ANALYTE IN LIQUID SAMPLE","STANDARD","2024-06-06","2024-04-07","FILED","YE, Weiwei","Hangzhou Laihe Biotech Co., Ltd.","Baxter Patent Attorneys Pty Ltd",""
"2024901633","2024901633","","","","Method of treatment","PROVISIONAL","2024-05-31","","FILED","Given, Not","ESFAM Biotech Pty Ltd","FB Rice Pty Ltd",""
"2024203598","2024203598","","","","PREPARATION OF PRELIPOSOMAL ANNAMYCIN LYOPHILIZATE","STANDARD","2024-05-29","2019-06-28","FILED","PICKER, Donald; PRIEBE, Waldemar","Board of Regents, The University of Texas System; Moleculin Biotech, Inc.","AJ PARK","A61K31/704"
"2024203593","2024203593","","","","METHOD OF RECONSTITUTING LIPOSOMAL ANNAMYCIN","STANDARD","2024-05-29","2019-06-28","FILED","PICKER, Donald; PRIEBE, Waldemar","Board of Regents, The University of Texas System; Moleculin Biotech, Inc.","AJ PARK","A61K31/704"
"2024203417","2024203417","","","","Bispecific EGFR/c-Met antibodies","STANDARD","2024-05-22","2012-11-21","FILED","CHIU, Mark; MOORES, Sheri; NEIJSSEN, Joost; PARREN, Paul; SCHUURMAN, Janine","Janssen Biotech, Inc.","Spruson & Ferguson","C07K16/00"
"2024901460","2024901460","","","","Methods for treating the effects of smoke","PROVISIONAL","2024-05-17","","FILED","Given, Not","RAGE Biotech Pty Ltd","FPA Patent Attorneys Pty Ltd",""
"2024203187","2024203187","","","","COLLECTOR FOR COLLECTING A LIQUID SAMPLE","STANDARD","2024-05-14","2024-04-28","FILED","SHEN, Lili; FANG, Jianqiu","Zhejiang Orient Gene Biotech Co., Ltd","Baxter Patent Attorneys Pty Ltd",""
"2024219856","2024219856","","PCT/NZ2024/050051","","THERAPEUTIC AGENTS AND COMPOSITIONS AND RELATED METHODS","STANDARD","2024-05-10","2023-05-10","FILED","PERNTHANER, Anton; HURST, Suzanne","KORU BIOTECH SOLUTIONS LIMITED","Catalyst Intellectual Property",""
"2024203093","2024203093","","","","POLYPEPTIDE COMPOUNDS AND USE THEREOF IN THE PREVENTION OR TREATMENT OF DIABETES OR DIAGNOSTIC COMPOUNDS","STANDARD","2024-05-09","2020-02-24","FILED","JIANG, Xianxing; ZHAO, Qian","Shenzhen Turier Biotech Co., Ltd.","Griffith Hack","C07K14/605"
"2024202876","2024202876","","","","TEST DEVICE FOR DETECTING ANALYTE IN LIQUID SAMPLE","STANDARD","2024-05-01","2024-05-01","FILED","YUAN, Guoliang; FANG, Jianqiu; LEI, Siyu; FANG, Kai","Zhejiang Orient Gene Biotech Co., Ltd","Baxter Patent Attorneys Pty Ltd",""
"2024901166","2024901166","","","","Methods of treating or preventing obstructive pulmonary disease","PROVISIONAL","2024-04-24","","FILED","Given, Not","RAGE Biotech Pty Ltd","FPA Patent Attorneys Pty Ltd",""
"2024202425","2024202425","","","","ANIMAL SERUM IDENTIFICATION METHOD","STANDARD","2024-04-12","2023-04-12","FILED","MATHUR, Udit","M&T Biotech IP Pty Ltd","Baxter Patent Attorneys Pty Ltd","G01N33/50"
"2024202300","2024202300","","","","Methods of treating cancers and enhancing efficacy of T cell redirecting therapeutics","STANDARD","2024-04-10","2018-05-16","FILED","ADAMS, Homer; GAUDET, Francois; FRERICHS, Kris; VAN DE DONK, Niels; VERKLEIJ, Christie","Janssen Biotech, Inc.; Stichting VUmc","Spruson & Ferguson","C07K16/28"
"2024202271","2024202271","","","","Polypeptide encoded by EB virus BNLF2b gene and use thereof in detection","STANDARD","2024-04-09","2020-01-02","FILED","LI, Tingdong; GE, Shengxiang; GUO, Xiaoyi; HONG, Congming; SONG, Liuwei; WEN, Shunhua; TANG, Jiabao; ZHANG, Jun; XIA, Ningshao","BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE CO., LTD.; Xiamen Innodx Biotech Co., Ltd; Xiamen University","Davies Collison Cave Pty Ltd","C07K14/435"
"2024202215","2024202215","","","","Anti-CD38 antibodies for treatment of acute lymphoblastic leukemia","STANDARD","2024-04-05","2014-02-28","FILED","DOSHI, Parul","Janssen Biotech, Inc.","Spruson & Ferguson","A61K39/00"
"2024100017","2024100017","","","","Safe and effective method of treating ulcerative colitis with anti-il12/il23 antibody","INNOVATION","2024-03-21","2018-09-24","GRANTED","JOHANNS, Jewel; LI, Katherine; MARANO, Colleen; STRAUSS, Richard; ZHANG, Hongyan; ADEDOKUN, Omoniyi; O'BRIEN, Christopher; SHIELDS-TUTTLE, Kimberly","Janssen Biotech, Inc.","Davies Collison Cave Pty Ltd","C07K16/24"
"2024100016","2024100016","","","","Safe and effective method of treating ulcerative colitis with anti-il12/il23 antibody","INNOVATION","2024-03-21","2018-09-24","CERTIFIED","JOHANNS, Jewel; LI, Katherine; MARANO, Colleen; STRAUSS, Richard; ZHANG, Hongyan; ADEDOKUN, Omoniyi; O'BRIEN, Christopher; SHIELDS-TUTTLE, Kimberly","Janssen Biotech, Inc.","Davies Collison Cave Pty Ltd","C07K16/24"
